54.36.148.13 - - [22/Aug/2023:00:21:22 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
54.36.149.9 - - [22/Aug/2023:00:21:23 +0300] "GET /page/excursion-to-dmanisi-first-europeans.html HTTP/1.1" 200 28501 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
66.249.66.75 - - [22/Aug/2023:01:05:43 +0300] "GET /robots.txt HTTP/1.1" 404 196 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.137 - - [22/Aug/2023:01:05:43 +0300] "GET /en/page/tour-new-year-5-days.html HTTP/1.1" 200 35349 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
205.210.31.167 - - [22/Aug/2023:01:14:15 +0300] "GET / HTTP/1.1" 200 29869 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
127.0.0.1 - - [22/Aug/2023:01:26:26 +0300] "GET /.well-known/acme-challenge/slpzioxpvw HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [22/Aug/2023:01:26:26 +0300] "GET /.well-known/acme-challenge/codhfqzizq HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
66.249.66.204 - - [22/Aug/2023:01:31:50 +0300] "GET /en/page/tour-tbilisi-batumi-10-days.html HTTP/1.1" 200 39041 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.75 - - [22/Aug/2023:01:31:54 +0300] "GET /cabinet/js/intlTelInput.js HTTP/1.1" 200 83682 "https://coolgeorgia.com/en/page/tour-tbilisi-batumi-10-days.html" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/116.0.5845.96 Safari/537.36"
66.249.66.30 - - [22/Aug/2023:01:34:13 +0300] "GET /en/page/tour-tbilisi-batumi-10-days.html HTTP/1.1" 200 39041 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.179 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
79.117.24.247 - - [22/Aug/2023:01:56:22 +0300] "GET /images/tours/tour-new-year-5-days_500x300_1.jpg HTTP/1.1" 200 141498 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Mobile Safari/537.36"
127.0.0.1 - - [22/Aug/2023:02:20:53 +0300] "GET /.well-known/acme-challenge/ujlsyqqreo HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
127.0.0.1 - - [22/Aug/2023:02:20:53 +0300] "GET /.well-known/acme-challenge/sbupitikfl HTTP/1.1" 200 10 "-" "Go-http-client/1.1"
